"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D28,D25,D21,D34,D04,D26,D06,D45,D20,D17,D43,D47,D29,D33,D03,D11,D15,D13,D24,D31,D36,D44,D46,D23,D37,D01,D12,D00,D14,D42,D8,D39,D18,D30,D35,D02,D40,D7,D9,D05,D22,D16,D32,D41,D27,D10,D19,D38";"LED_1206_3216Metric";48;"LED";;;
2;"R1,R2";"R_1206_3216Metric";2;"4.7K";;;
3;"C1";"C_1206_3216Metric";1;"0.1uF";;;
4;"R4,R5";"R_1206_3216Metric";2;"39K";;;
5;"J1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
6;"D49";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
7;"U1";"C5444735_SOP-24_L15_4-W7_5-P1_27-LS10_4-BL";1;"HT16K33A-24SOP";;;
